郵遞區號,電腦局號,郵務局號,局名,電腦局名,縣市,鄉鎮市區,地址,完整地址,緯度,經度
27047,011120-9,260020,蘇澳港邊里郵局,宜蘭20支,宜蘭縣,蘇澳鎮,蘇濱路1段301號,宜蘭縣蘇澳鎮蘇濱路1段301號,24.613042,121.849982
27050,011121-2,260021,蘇澳馬賽郵局,宜蘭21支,宜蘭縣,蘇澳鎮,大同路226號,宜蘭縣蘇澳鎮大同路226號,24.625723,121.833498
27044,011122-6,260022,蘇澳蘇西里郵局,宜蘭22支,宜蘭縣,蘇澳鎮,中山路1段253號,宜蘭縣蘇澳鎮中山路1段253號,24.595537,121.844004
27291,011123-0,260023,蘇澳東澳路郵局,宜蘭23支,宜蘭縣,南澳鄉,蘇花路3段171號,宜蘭縣南澳鄉蘇花路3段171號,24.519709,121.832399
27241,011124-3,260024,南澳郵局,宜蘭24支,宜蘭縣,南澳鄉,蘇花路2段351號,宜蘭縣南澳鄉蘇花路2段351號,24.465357,121.802872
26541,011125-7,260025,羅東郵局,宜蘭25支,宜蘭縣,羅東鎮,興東路69號,宜蘭縣羅東鎮興東路69號,24.6775,121.768221
26847,011126-1,260026,五結二結郵局,宜蘭26支,宜蘭縣,五結鄉,二結路27號,宜蘭縣五結鄉二結路27號,24.702866,121.768003
26946,011127-4,260027,冬山郵局,宜蘭27支,宜蘭縣,冬山鄉,冬山路177號,宜蘭縣冬山鄉冬山路177號,24.634438,121.791597
26546,011128-8,260028,羅東南門郵局,宜蘭28支,宜蘭縣,羅東鎮,中正南路102號,宜蘭縣羅東鎮中正南路102號,24.670122,121.771648
26550,011129-1,260029,羅東大同路郵局,宜蘭29支,宜蘭縣,羅東鎮,大同路44-6號,宜蘭縣羅東鎮大同路44-6號,24.679666,121.773635
26845,011130-3,260030,五結郵局,宜蘭30支,宜蘭縣,五結鄉,自強路165、167號,宜蘭縣五結鄉自強路165、167號,24.683783,121.795103
26942,011131-7,260031,冬山群英郵局,宜蘭31支,宜蘭縣,冬山鄉,義成路3段482號,宜蘭縣冬山鄉義成路3段482號,24.667077,121.768077
26841,011132-1,260032,五結利澤郵局,宜蘭32支,宜蘭縣,五結鄉,利成路2段468號,宜蘭縣五結鄉利成路2段468號,24.667774,121.822058
26544,011133-4,260033,羅東西門郵局,宜蘭33支,宜蘭縣,羅東鎮,中山路4段235號,宜蘭縣羅東鎮中山路4段235號,24.67302,121.758389
26562,011134-8,260034,羅東竹林郵局,宜蘭34支,宜蘭縣,羅東鎮,復興路2段193號,宜蘭縣羅東鎮復興路2段193號,24.689406,121.764991
26641,011135-1,260035,三星郵局,宜蘭35支,宜蘭縣,三星鄉,太平路134號,宜蘭縣三星鄉太平路134號,24.666605,121.652492
26741,011136-5,260036,大同郵局,宜蘭36支,宜蘭縣,大同鄉,崙埤村泰雅路1段58號,宜蘭縣大同鄉崙埤村泰雅路1段58號,24.675797,121.609769
33043,012100-6,330000,桃園成功路郵局,桃園901支,桃園市,桃園區,成功路一段51號,桃園市桃園區成功路一段51號,24.992567,121.311098
33379,012101-0,330001,龜山大崗郵局,桃園1支,桃園市,龜山區,大崗里新興街99號,桃園市龜山區大崗里新興街99號,25.050722,121.357511
33450,012102-3,330002,八德大湳郵局,桃園2支,桃園市,八德區,介壽路一段842號,桃園市八德區介壽路一段842號,24.961527,121.299549
33451,012103-7,330003,八德郵局,桃園3支,桃園市,八德區,建國路18號,桃園市八德區建國路18號,24.931088,121.284865
33041,012104-1,330004,桃園民生路郵局,桃園4支,桃園市,桃園區,民生路246-1號,桃園市桃園區民生路246-1號,24.995275,121.312797
33343,012105-4,330005,龜山郵局,桃園5支,桃園市,龜山區,豐美街2-1號,桃園市龜山區豐美街2-1號,24.993172,121.334484
33344,012106-8,330006,龜山民安街郵局,桃園6支,桃園市,龜山區,民安街120號,桃園市龜山區民安街120號,24.989855,121.324636
33058,012107-1,330007,桃園南門郵局,桃園7支,桃園市,桃園區,中山路362號,桃園市桃園區中山路362號,24.993011,121.304575
33068,012108-5,330008,桃園大樹林郵局,桃園8支,桃園市,桃園區,大誠路9號,桃園市桃園區大誠路9號,24.983832,121.322274
33858,012109-9,330009,蘆竹郵局,桃園9支,桃園市,蘆竹區,南山路一段105號,桃園市蘆竹區南山路一段105號,25.055956,121.290577
33057,012110-1,330010,桃園茄苳郵局,桃園10支,桃園市,桃園區,龍安街12號,桃園市桃園區龍安街12號,24.987452,121.282012
33043,012111-4,330011,桃園東埔郵局,桃園11支,桃園市,桃園區,中正二街15號,桃園市桃園區中正二街15號,25.001532,121.307739
33059,012112-8,330012,桃園中路郵局,桃園12支,桃園市,桃園區,壽昌街20巷27-1號及27-2號,桃園市桃園區壽昌街20巷27-1號及27-2號,24.989912,121.292904
33051,012113-1,330013,桃園水汴頭郵局,桃園13支,桃園市,桃園區,春日路1360號,桃園市桃園區春日路1360號,25.027054,121.305892
33062,012114-5,330014,桃園福林郵局,桃園14支,桃園市,桃園區,介壽路316及316-1號,桃園市桃園區介壽路316及316-1號,24.981328,121.306438
33059,012115-9,330015,桃園永安郵局,桃園15支,桃園市,桃園區,永安路365號,桃園市桃園區永安路365號,25.000808,121.29977
33068,012116-2,330016,桃園桃鶯郵局,桃園16支,桃園市,桃園區,桃鶯路354、356號,桃園市桃園區桃鶯路354、356號,24.978053,121.322211
33305,012117-6,330017,龜山樂善郵局,桃園17支,桃園市,龜山區,復興街5號(林口長庚醫院內),桃園市龜山區復興街5號(林口長庚醫院內),25.061579,121.366796
33447,012118-0,330018,八德更寮腳郵局,桃園18支,桃園市,八德區,介壽路2段1030號,桃園市八德區介壽路2段1030號,24.932995,121.297385
33350,012119-3,330019,龜山迴龍郵局,桃園19支,桃園市,龜山區,萬壽路1段374、376號,桃園市龜山區萬壽路1段374、376號,25.017149,121.401014
33050,012120-5,330020,桃園大業郵局,桃園20支,桃園市,桃園區,大業路1段372號,桃園市桃園區大業路1段372號,25.013488,121.312215
33053,012121-9,330021,桃園府前郵局,桃園21支,桃園市,桃園區,縣府路326、328、330號,桃園市桃園區縣府路326、328、330號,24.992796,121.300593
33455,012122-2,330022,八德高城郵局,桃園22支,桃園市,八德區,永豐路581號,桃園市八德區永豐路581號,24.97539,121.271384
33062,012123-6,330023,桃園建國郵局,桃園23支,桃園市,桃園區,建國路156-8號,桃園市桃園區建國路156-8號,24.985598,121.309725
33445,012124-0,330024,八德麻園郵局,桃園24支,桃園市,八德區,介壽路2段298號,桃園市八德區介壽路2段298號,24.949758,121.297807
33377,012125-3,330025,龜山文化郵局,桃園25支,桃園市,龜山區,文化里文昌一街102號,桃園市龜山區文化里文昌一街102號,25.057385,121.369913
